query_uid,arr3_seed20260807,arr3_seed20260808,arr3_seed20260809,arr3_seed20260810,arr3_seed20260811,arr5_seed20260807,arr5_seed20260808,arr5_seed20260809,arr5_seed20260810,arr5_seed20260811
fever:100030,bm25,ce20,bm25,bm25,ce20,ce100,ce20,hybrid,hybrid,hybrid
fever:100038,bm25,bm25,bm25,bm25,bm25,bm25,bm25,ce20,ce20,bm25
fever:100060,bm25,bm25,bm25,bm25,bm25,ce100,bi200,hybrid,ce20,bi200
fever:100083,bm25,bm25,bm25,bm25,bm25,ce20,bm25,bm25,ce20,bm25
fever:100088,ce20,ce20,bm25,ce20,ce20,hybrid,hybrid,hybrid,hybrid,hybrid
fever:100145,ce100,ce20,ce20,ce20,bm25,hybrid,ce20,bm25,ce20,bi200
fever:100169,ce20,bm25,bm25,bm25,bm25,ce20,ce20,ce20,ce20,ce20
fever:100194,bm25,ce20,bm25,ce20,ce20,hybrid,bi200,bm25,bi200,ce20
fever:100200,ce100,ce100,ce100,ce100,ce100,bi200,bi200,bi200,bi200,hybrid
fever:100204,ce20,bm25,bm25,ce20,ce100,ce100,bm25,bi200,ce20,bm25
fever:100234,ce20,ce100,ce100,ce20,ce100,hybrid,bi200,hybrid,hybrid,ce20
fever:100243,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25
fever:100245,bm25,ce20,bm25,bm25,bm25,ce20,ce20,bm25,ce20,bm25
fever:100261,ce20,ce100,ce20,bm25,ce100,bi200,ce100,bi200,hybrid,bi200
fever:100271,bm25,ce20,bm25,bm25,bm25,ce20,bm25,bm25,ce20,bm25
fever:100280,ce20,ce20,ce100,bm25,ce20,bi200,bi200,bi200,hybrid,ce20
fever:100318,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25,bm25
fever:100320,ce20,ce100,ce20,ce20,ce20,ce100,ce20,bm25,hybrid,ce20
fever:100358,bm25,ce100,ce100,ce100,ce100,hybrid,bi200,hybrid,bi200,bi200
fever:100366,ce100,ce100,ce20,ce100,ce20,bi200,bi200,bi200,bi200,bi200
fever:10040,ce100,ce20,ce20,ce20,ce100,ce20,bm25,bm25,ce20,bi200
fever:100400,ce20,ce20,ce20,ce20,ce20,ce20,ce20,hybrid,ce20,ce20
fever:100407,ce100,ce20,ce100,ce20,ce20,bi200,ce100,ce100,ce100,bm25
fever:10041,ce100,ce100,ce20,ce100,ce100,ce20,ce100,bm25,ce100,bi200
fever:100429,ce20,ce100,ce100,bm25,ce20,bi200,ce100,bi200,ce20,ce20
fever:100446,bm25,bm25,bm25,bm25,ce20,bm25,bm25,hybrid,ce20,bm25
fever:100467,ce20,ce20,bm25,bm25,ce20,bi200,ce100,bi200,hybrid,hybrid
fever:100487,ce100,ce100,bm25,ce100,ce100,bi200,bi200,bi200,bi200,bi200
fever:100505,bm25,ce100,ce100,bm25,ce100,ce100,ce100,hybrid,ce20,hybrid
fever:10051,ce20,ce20,ce20,ce20,ce20,bi200,ce20,bi200,ce100,ce20
fever:10052,ce20,bm25,ce20,bm25,ce20,ce100,ce20,hybrid,ce20,hybrid
fever:100584,ce100,ce20,ce20,bm25,ce100,bi200,bi200,ce20,ce20,ce20
fever:100615,bm25,bm25,bm25,bm25,bm25,ce20,bm25,bm25,bm25,bm25
fever:100617,ce20,ce100,ce20,ce20,ce20,ce100,bm25,bm25,ce20,bm25
fever:100659,ce20,bm25,ce100,bm25,ce20,bi200,ce100,ce100,ce20,bi200
fever:100683,ce100,ce100,bm25,bm25,ce100,bi200,hybrid,hybrid,hybrid,hybrid
fever:100684,ce20,ce20,ce20,bm25,ce100,ce100,ce100,ce20,ce100,hybrid
fever:100771,ce20,ce100,ce20,ce20,ce20,ce20,ce100,ce100,ce20,ce20
fever:100781,ce20,ce20,ce20,ce20,bm25,ce20,ce20,ce20,ce20,bm25
fever:100782,ce20,ce20,bm25,ce20,ce20,bi200,ce20,bi200,bi200,bi200
fever:100785,ce20,bm25,bm25,bm25,bm25,ce100,bm25,hybrid,hybrid,ce20
fever:100788,bm25,bm25,bm25,bm25,bm25,ce100,bm25,ce20,ce100,ce20
fever:100795,ce20,ce20,bm25,bm25,ce20,ce20,bm25,bm25,hybrid,bm25
fever:100802,ce100,ce100,ce20,ce100,ce100,bi200,bi200,hybrid,bi200,bi200
fever:10082,ce20,ce20,ce20,ce20,ce100,ce20,ce100,ce100,ce20,hybrid
fever:100821,bm25,bm25,bm25,bm25,bm25,bi200,ce20,hybrid,bi200,bi200
fever:100832,ce20,ce20,ce20,bm25,ce20,ce20,ce100,bm25,ce100,ce20
fever:100836,bm25,bm25,bm25,bm25,ce20,hybrid,bm25,bi200,bm25,bm25
fever:100852,bm25,ce20,ce20,bm25,ce20,bm25,ce100,ce100,hybrid,ce20
fever:100893,ce100,ce100,ce20,ce100,ce100,hybrid,bi200,hybrid,bi200,bi200
fever:100919,ce20,ce20,bm25,ce20,ce20,bm25,ce20,bm25,bm25,ce20
fever:100938,ce100,ce100,ce100,ce100,ce100,bi200,ce100,hybrid,bi200,hybrid
fever:100958,ce100,ce100,ce20,ce100,ce100,ce100,ce100,ce20,hybrid,bi200
fever:100967,bm25,ce100,ce100,ce100,bm25,hybrid,bi200,hybrid,bi200,hybrid
