query_uid,et3,qpp5
fever:100030,ce100,ce100
fever:100038,bm25,bm25
fever:100060,ce20,ce100
fever:100083,ce100,ce100
fever:100088,ce100,ce100
fever:100145,ce20,ce100
fever:100169,ce20,bm25
fever:100194,ce100,ce100
fever:100200,ce100,ce100
fever:100204,ce20,ce100
fever:100234,ce100,ce100
fever:100243,ce20,bm25
fever:100245,ce20,ce100
fever:100261,ce100,ce100
fever:100271,ce100,ce100
fever:100280,ce100,ce100
fever:100318,ce20,ce100
fever:100320,ce100,ce100
fever:100358,bm25,bm25
fever:100366,ce20,bm25
fever:10040,ce20,bm25
fever:100400,ce20,ce100
fever:100407,ce20,ce100
fever:10041,ce20,ce100
fever:100429,ce100,ce100
fever:100446,ce20,bm25
fever:100467,ce100,ce100
fever:100487,ce100,ce100
fever:100505,ce20,ce100
fever:10051,ce20,ce100
fever:10052,ce20,ce100
fever:100584,ce20,ce100
fever:100615,ce20,bm25
fever:100617,ce20,ce100
fever:100659,ce100,ce100
fever:100683,ce100,ce100
fever:100684,ce100,ce100
fever:100771,ce100,ce100
fever:100781,ce20,ce100
fever:100782,ce20,ce100
fever:100785,ce100,ce100
fever:100788,ce100,ce100
fever:100795,ce20,bm25
fever:100802,ce20,ce100
fever:10082,ce100,ce100
fever:100821,ce20,ce100
fever:100832,ce100,ce100
fever:100836,ce20,ce100
fever:100852,bm25,bm25
fever:100893,ce100,ce100
fever:100919,ce20,bm25
fever:100938,ce100,ce100
fever:100958,ce100,ce100
fever:100967,bm25,bm25
fever:10100,ce100,ce100
fever:101008,bm25,bm25
fever:101012,ce20,ce100
fever:101014,ce20,ce100
fever:101017,ce100,ce100
fever:101027,ce100,ce100
fever:10103,ce20,bm25
fever:101042,ce20,ce100
fever:101062,ce20,bm25
fever:101101,ce20,ce100
fever:101109,ce20,ce100
fever:101111,ce100,ce100
fever:101118,ce20,ce100
fever:101125,ce100,ce100
fever:101142,ce20,ce100
fever:10117,ce20,ce100
fever:101176,bm25,bm25
fever:10118,ce20,ce100
fever:101183,ce100,ce100
fever:101212,ce100,ce100
fever:101224,ce20,bm25
fever:101300,ce100,ce100
fever:101322,ce20,ce100
fever:101340,ce100,ce100
fever:101434,ce20,ce100
fever:10146,ce100,ce100
fever:101462,ce100,ce100
fever:10147,ce100,ce100
fever:101473,ce20,ce100
fever:101482,ce20,ce100
fever:101506,bm25,bm25
fever:10151,ce100,ce100
fever:10152,ce20,ce100
fever:101528,bm25,bm25
