task,policy,control,target_policy_mean_cost,analytic_mean_quality,analytic_mean_cost,analytic_mean_utility,cost_match_error,delta_policy_vs_control,route_probabilities,mc_draws,mc_mean_cost,mc_sd_cost,mc_mean_utility,mc_sd_utility
trec_dl,qpp,maximum_entropy_route_independent_expected_cost_match,0.0874385701648912,0.58607065852759,0.08743857016489123,0.5790755729143986,2.7755575615628914e-17,0.11693266377631228,"{""cross_encoder"": 0.2837501116241251, ""dense_fusion"": 0.32634327855383116, ""late_interaction"": 0.061263613125375434, ""stop_bm25"": 0.32864299669666835}",1000,0.08767124486264968,0.023365892656394535,0.5795620415327064,0.015929343212034132
trec_dl,native_adaptive,maximum_entropy_route_independent_expected_cost_match,0.0874385701648912,0.58607065852759,0.08743857016489123,0.5790755729143986,2.7755575615628914e-17,0.11693266377631228,"{""cross_encoder"": 0.2837501116241251, ""dense_fusion"": 0.32634327855383116, ""late_interaction"": 0.061263613125375434, ""stop_bm25"": 0.32864299669666835}",1000,0.08780340574555823,0.023817826368965258,0.5801098782898678,0.016841474395209968
trec_dl,arr_seed_1,maximum_entropy_route_independent_expected_cost_match,0.1970342217014845,0.6028550664767435,0.1970342217014846,0.5870923287406247,1.1102230246251565e-16,-0.010319967542614106,"{""cross_encoder"": 0.2683102140223125, ""dense_fusion"": 0.2793587355202026, ""late_interaction"": 0.1724057225029319, ""stop_bm25"": 0.27992532795455294}",1000,0.19775161609700342,0.038488604283531784,0.5875376807510501,0.0155587947100785
trec_dl,arr_seed_2,maximum_entropy_route_independent_expected_cost_match,0.13677883588967135,0.5940898628384098,0.13677883588967135,0.5831475559672362,0.0,0.004935483382259909,"{""cross_encoder"": 0.27951160817508053, ""dense_fusion"": 0.30406626133413345, ""late_interaction"": 0.11106761488977207, ""stop_bm25"": 0.3053545156010139}",1000,0.13567166993513557,0.031204766764696055,0.5831981837695259,0.015193308707558924
trec_dl,arr_seed_3,maximum_entropy_route_independent_expected_cost_match,0.29848723527351173,0.6165457856667924,0.2984872352735116,0.5926668068449115,-1.1102230246251565e-16,0.01043651366974152,"{""cross_encoder"": 0.24318041043045674, ""dense_fusion"": 0.24037039222390846, ""late_interaction"": 0.27621903794226754, ""stop_bm25"": 0.24023015940336717}",1000,0.29795627471253544,0.04244722900278207,0.5922366418813454,0.015750142244865727
trec_dl,arr_seed_4,maximum_entropy_route_independent_expected_cost_match,0.3988326359576359,0.6294108596580438,0.3988326359576359,0.5975042487814329,0.0,-0.0008467590776530809,"{""cross_encoder"": 0.21434557666500142, ""dense_fusion"": 0.20347280288009112, ""late_interaction"": 0.37923996279828354, ""stop_bm25"": 0.20294165765662392}",1000,0.39950921016242147,0.04883713732552583,0.5974571397613443,0.014159696817991847
trec_dl,arr_seed_5,maximum_entropy_route_independent_expected_cost_match,0.4227028283260132,0.6324052723694339,0.42270282832601314,0.598589046103353,-5.551115123125783e-17,0.008658300481380499,"{""cross_encoder"": 0.20709775023196075, ""dense_fusion"": 0.1948587166023302, ""late_interaction"": 0.4037799052724202, ""stop_bm25"": 0.19426362789328883}",1000,0.42256024373403384,0.0476824328803834,0.5985172364644683,0.01407267783189197
fever,qpp,maximum_entropy_route_independent_expected_cost_match,0.2574784785759437,0.730194274069192,0.2574784785759434,0.7095959957831166,-2.7755575615628914e-16,0.08556671848616904,"{""bi200"": 0.17011708836563955, ""bm25"": 0.24199932175463784, ""ce100"": 0.19327815499444576, ""ce20"": 0.2310266447670954, ""hybrid"": 0.16357879011818152}",1000,0.25753475638668644,0.00199730625574732,0.7096524172733283,0.0017623109464447323
fever,native_adaptive,maximum_entropy_route_independent_expected_cost_match,0.16193269839172714,0.7268064583307181,0.16193269839172694,0.71385184245938,-1.942890293094024e-16,0.08686515059245348,"{""bi200"": 0.09232342884020887, ""bm25"": 0.3687709721490257, ""ce100"": 0.15245182891045883, ""ce20"": 0.30730734291837103, ""hybrid"": 0.07914642718193558}",1000,0.1619587550632981,0.001755212040022701,0.7138560889019749,0.0016735382437346664
fever,arr_seed_1,maximum_entropy_route_independent_expected_cost_match,0.29051060456473554,0.7303723868507924,0.2905106045647352,0.7071315384856136,-3.3306690738754696e-16,0.024278445288013373,"{""bi200"": 0.1975842970259663, ""bm25"": 0.20329210932251984, ""ce100"": 0.19963270243096623, ""ce20"": 0.202531317818448, ""hybrid"": 0.19695957340209957}",1000,0.29055244630320787,0.001945870974775517,0.707171331920223,0.001770419329523042
fever,arr_seed_2,maximum_entropy_route_independent_expected_cost_match,0.25118861041640994,0.7301099733570132,0.25118861041640966,0.7100148845237007,-2.7755575615628914e-16,0.017245414165798167,"{""bi200"": 0.16490381063750828, ""bm25"": 0.24963131891868098, ""ce100"": 0.19162170237283843, ""ce20"": 0.23636980482319533, ""hybrid"": 0.15747336324777703}",1000,0.25117683625330567,0.0020513938807885167,0.7100209447722444,0.0017525892214045528
fever,arr_seed_3,maximum_entropy_route_independent_expected_cost_match,0.2936293621257873,0.7303672033670838,0.293629362125787,0.7068768543970209,-2.7755575615628914e-16,0.023624888498304797,"{""bi200"": 0.2001818535860278, ""bm25"": 0.1997528614193951, ""ce100"": 0.2000263824310457, ""ce20"": 0.1998092882003371, ""hybrid"": 0.20022961436319442}",1000,0.2935870368675872,0.0018790962061684408,0.7069129033696292,0.0017740624306301284
fever,arr_seed_4,maximum_entropy_route_independent_expected_cost_match,0.2747367688499919,0.7303414091714103,0.27473676884999154,0.7083624676634108,-3.3306690738754696e-16,0.03147737337176082,"{""bi200"": 0.18445385060356143, ""bm25"": 0.22149392044882416, ""ce100"": 0.19709257049937096, ""ce20"": 0.2162213495415377, ""hybrid"": 0.18073830890670567}",1000,0.2747108103984186,0.0020047937831008675,0.7083168325223369,0.0017587837187658666
fever,arr_seed_5,maximum_entropy_route_independent_expected_cost_match,0.26432753533716963,0.730267211091612,0.26432753533716935,0.7091210082646384,-2.7755575615628914e-16,0.008498940862025073,"{""bi200"": 0.17580169019242337, ""bm25"": 0.23378620659351046, ""ce100"": 0.1949203794227703, ""ce20"": 0.2251751313438075, ""hybrid"": 0.17031659244748823}",1000,0.2642435834582064,0.0020945389918910788,0.7091005814892098,0.0018182624758683967
structured_v2,qpp,maximum_entropy_route_independent_expected_cost_match,0.21205999999999997,0.8372991335608494,0.21206000000000141,0.8203343335608495,1.4432899320127035e-15,0.07709858964585259,"{""ce"": 0.05300649442370846, ""full_context"": 0.11839180950951692, ""one_hop"": 0.25917279913455216, ""summary"": 0.35742625383331583, ""two_hop"": 0.21200264309890662}",1000,0.21207331,0.00550704040187539,0.8203927818874769,0.0035608321670643254
structured_v2,native_adaptive,maximum_entropy_route_independent_expected_cost_match,0.15001,0.8350424035440244,0.15001000000000136,0.8230416035440243,1.3600232051658168e-15,0.10203473450435119,"{""ce"": 0.019125705040521013, ""full_context"": 0.072466167744388, ""one_hop"": 0.26557683454321357, ""summary"": 0.4524778525750357, ""two_hop"": 0.19035344009684177}",1000,0.15014081999999998,0.004303419116666852,0.823098196571373,0.0031962912276415466
structured_v2,arr_seed_1,maximum_entropy_route_independent_expected_cost_match,0.28269,0.8362177746283126,0.2826900000000006,0.8136025746283126,6.106226635438361e-16,0.04791707104456522,"{""ce"": 0.10605535762378994, ""full_context"": 0.1597920139446917, ""one_hop"": 0.23830160459274655, ""summary"": 0.28076046286577055, ""two_hop"": 0.21509056097300122}",1000,0.28260816,0.0063625500121458475,0.8135545489217249,0.003583489655431887
