task,policy,queries,mean_quality,mean_cost,mean_utility,delta_utility_vs_fixed,delta_vs_fixed_ci_low,delta_vs_fixed_ci_high,delta_vs_fixed_p,components,action_counts,monte_carlo_mean_utility,monte_carlo_sd_utility
trec_dl,fixed,97,0.7030033223039022,0.0874385701648912,0.6960082366907109,0.0,0.0,0.0,1.0,97,"{""cross_encoder"": 97}",,
trec_dl,qpp,97,0.7030033223039022,0.0874385701648912,0.6960082366907109,0.0,0.0,0.0,1.0,97,"{""cross_encoder"": 97}",,
trec_dl,native_adaptive,97,0.7030033223039022,0.0874385701648912,0.6960082366907109,0.0,0.0,0.0,1.0,97,"{""cross_encoder"": 97}",,
trec_dl,arr_seed_1,97,0.5925350989341293,0.1970342217014845,0.5767723611980106,-0.11923587549270033,-0.15621048028238177,-0.08223935752916195,9.99950002499875e-05,97,"{""cross_encoder"": 11, ""dense_fusion"": 36, ""late_interaction"": 18, ""stop_bm25"": 32}",,
trec_dl,arr_seed_2,97,0.5990253462206698,0.13677883588967135,0.5880830393494961,-0.1079251973412147,-0.1454727238812752,-0.07200052197152196,9.99950002499875e-05,97,"{""dense_fusion"": 64, ""late_interaction"": 13, ""stop_bm25"": 20}",,
trec_dl,arr_seed_3,97,0.626982299336534,0.29848723527351173,0.603103320514653,-0.09290491617605784,-0.12853450181051543,-0.059736760613775676,9.99950002499875e-05,97,"{""cross_encoder"": 21, ""dense_fusion"": 28, ""late_interaction"": 27, ""stop_bm25"": 21}",,
trec_dl,arr_seed_4,97,0.6285641005803907,0.3988326359576359,0.5966574897037799,-0.09935074698693099,-0.13628397218618146,-0.06595829646801699,9.99950002499875e-05,97,"{""cross_encoder"": 18, ""dense_fusion"": 27, ""late_interaction"": 37, ""stop_bm25"": 15}",,
trec_dl,arr_seed_5,97,0.6410635728508145,0.4227028283260132,0.6072473465847334,-0.08876089010597739,-0.12170466573431821,-0.05872722071868991,9.99950002499875e-05,97,"{""cross_encoder"": 34, ""dense_fusion"": 7, ""late_interaction"": 38, ""stop_bm25"": 18}",,
trec_dl,uniform_random_analytic,97,0.6131756187556318,0.2729047483275436,0.5913432388894283,-0.10466499780128258,,,,97,"{""cross_encoder"": ""p=0.25000000"", ""dense_fusion"": ""p=0.25000000"", ""late_interaction"": ""p=0.25000000"", ""stop_bm25"": ""p=0.25000000""}",0.5899526545128866,0.01677512167176821
fever,fixed,13332,0.815562221646419,0.32483250918452844,0.7895756209116568,0.0,0.0,0.0,1.0,1042,"{""ce100"": 13332}",,
fever,qpp,13332,0.8157609925553614,0.2574784785759437,0.7951627142692856,0.005587093357628911,0.004426753686331981,0.006777012758933508,9.99950002499875e-05,1042,"{""bm25"": 2671, ""ce100"": 10661}",,
