task,cost_profile,mode,lambda,delta,low,high,source,runtime_seconds,adaptive_utility,fixed_utility,adaptive_cost,fixed_cost,selected_families,fixed_routes,fixed_route
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.0,-0.0009120959413673,-0.002348907570988172,0.00047852397476480437,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.005,-0.0002883803048182,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.01,-5.9837292023208976e-05,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.015,0.0005782859034938,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.02,0.0010595214836121,-0.00039235320366578136,0.002496001174443837,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.025,0.0015839203396414,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.03,0.0025231869061946,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.035,0.0032616162789258,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.04,0.0037473007711428,0.0023482817926979292,0.00511259137372476,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.045,0.0045293100112249,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.05,0.0056638173470921,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.055,0.0064269790330846,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.06,0.0074559727532412,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.065,0.0086014075909288,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.07,0.0095872638699858,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.075,0.0100958588123202,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.08,0.0111413721401767,0.009775767792215145,0.012543452023245404,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.085,0.0120261058476802,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.09,0.0131991861240507,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.095,0.0142561312056632,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.1,0.0152647474552741,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.105,0.0163725994298109,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.11,0.0173105988232896,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.115,0.0182882572812948,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.12,0.0191953812433076,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.125,0.020281064278107,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.13,0.021366860836199,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.135,0.0224875174991753,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.14,0.0236499482996974,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.145,0.0246855318434095,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.15,0.0256844490534119,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.155,0.0190578226606584,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.16,0.0185544042861441,0.015884688980130585,0.021315509316187174,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.165,0.0180004810743504,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.17,0.0176208694109563,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.175,0.0175724999715472,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.18,0.0173044604763373,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.185,0.0170805507358642,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.19,0.0169190872411164,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.195,0.016561848013056,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.2,0.0162339612256826,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.205,0.0160006967352799,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.21,0.0156409972960514,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.215,0.0155228943228238,,,,,,,,,,,
FEVER,query-relative operator work,same predictor; actions and fixed route recomputed,0.22,0.0154986410225689,,,,,,,,,,,
