task,route,mechanism_label,n,share,mean_delta_quality,mean_delta_utility,delta_quality_contribution_per_query,delta_utility_contribution_per_query,positive_delta_utility_share,mean_newly_surfaced_relevant
FEVER,bi200,depth_refinement_compatible,1292,0.0969096909690969,0.5516127129166462,0.5115054256525376,0.05345661754337735,0.049569832729003796,0.9969040247678018,1.013157894736842
FEVER,bi200,no_quality_gain,5217,0.3913141314131413,0.0,-0.04110507650539213,0.0,-0.016084997309378242,0.0,0.0007667241709794901
FEVER,bi200,quality_harm,4531,0.33985898589858987,-0.4628532482017231,-0.5032683565241969,-0.15730483555370592,-0.17104027328316354,0.0,0.008165967777532554
FEVER,bi200,within_topk_reordering_compatible,2292,0.1719171917191719,0.3308521144437086,0.2899341472494989,0.056879166389512466,0.049844664378626724,0.9677137870855148,0.0
FEVER,ce100,depth_refinement_compatible,1505,0.11288628862886288,0.6391239811332344,0.6139810076768443,0.07214833420383422,0.06931003724524833,0.9966777408637874,1.0325581395348837
FEVER,ce100,no_quality_gain,7162,0.5372037203720372,0.0,-0.026172749200193277,0.0,-0.01406009824270809,0.0,0.00013962580284836637
FEVER,ce100,quality_harm,1008,0.07560756075607561,-0.30970686691583976,-0.33697672799607753,-0.02341618075691318,-0.025477988435346995,0.0,0.017857142857142856
FEVER,ce100,within_topk_reordering_compatible,3657,0.2743024302430243,0.3886510581510443,0.36303554373941743,0.1066079297673544,0.09958153191231994,0.993984140005469,0.0
FEVER,ce20,depth_refinement_compatible,667,0.05003000300030003,0.6463804245555322,0.6410841884671449,0.032338414579848485,0.03207344387245617,1.0,1.0224887556221889
FEVER,ce20,no_quality_gain,8019,0.6014851485148515,0.0,-0.005345164738414315,0.0,-0.003215037206521482,0.0,0.0
FEVER,ce20,quality_harm,875,0.06563156315631563,-0.2983060870236003,-0.3041024933662203,-0.01957829479040281,-0.019958721999358144,0.0,0.006857142857142857
FEVER,ce20,within_topk_reordering_compatible,3771,0.2828532853285329,0.3896388198120486,0.3843235015693117,0.11021062027537018,0.10870716504784537,0.9992044550517104,0.0
FEVER,hybrid,depth_refinement_compatible,1485,0.11138613861386139,0.6503858043122209,0.6056955040062567,0.07244396335160877,0.06746608336703355,0.9959595959595959,1.020875420875421
FEVER,hybrid,no_quality_gain,6868,0.5151515151515151,0.0,-0.045730072467598845,0.0,-0.02355791611967213,0.0,0.0005824111822947001
FEVER,hybrid,quality_harm,1500,0.11251125112511251,-0.4891524948560262,-0.5334787059556113,-0.05503515918722167,-0.06002235665567184,0.0,0.014666666666666666
FEVER,hybrid,within_topk_reordering_compatible,3479,0.260951095109511,0.39079031728156,0.34576577241306033,0.10197716125281632,0.09022795696257403,0.9830411037654498,0.0
MuSiQue,V1,depth_refinement_compatible,90,0.037236243276789406,0.2714138101240867,0.26931430692186903,0.01010643066246082,0.010028253050462645,1.0,1.0222222222222221
MuSiQue,V1,no_quality_gain,1952,0.8076127430699214,0.0,-0.0020360780384001886,0.0,-0.001644362569696801,0.0,0.0030737704918032786
MuSiQue,V1,quality_harm,198,0.0819197352089367,-0.16123696949179758,-0.16330597090939097,-0.013208489846659462,-0.013377981894935628,0.0,0.050505050505050504
MuSiQue,V1,within_topk_reordering_compatible,177,0.07323127844435251,0.1384974810077987,0.1362525099066543,0.01014234759552353,0.009977945491716099,1.0,0.0
MuSiQue,V2,depth_refinement_compatible,742,0.30699213901530825,0.36860710634879323,0.3468055431574105,0.11315948403425924,0.10646657551625925,1.0,1.1630727762803235
MuSiQue,V2,no_quality_gain,681,0.28175424079437317,0.0,-0.02340106981948909,0.0,-0.0065933506607662685,0.0,0.0881057268722467
MuSiQue,V2,quality_harm,762,0.3152668597434837,-0.27524861510378595,-0.29669925089445004,-0.0867767665325134,-0.09353944111773725,0.0,0.1115485564304462
MuSiQue,V2,within_topk_reordering_compatible,232,0.09598676044683492,0.18314385630298433,0.16073696401802598,0.017579385462264115,0.015428620460149783,1.0,0.0
MuSiQue,V3,depth_refinement_compatible,691,0.2858916011584609,0.3735874657640274,0.29358746576402733,0.10680551876000949,0.0839341906673326,0.9421128798842258,1.1606367583212736
MuSiQue,V3,no_quality_gain,671,0.2776168804302855,0.0,-0.07999999999999997,0.0,-0.022209350434422834,0.0,0.11773472429210134
MuSiQue,V3,quality_harm,852,0.35250310302027305,-0.3064813971366958,-0.38648139713669577,-0.10803564350867391,-0.13623589175029574,0.0,0.11267605633802817
MuSiQue,V3,within_topk_reordering_compatible,203,0.08398841539098055,0.17621972826598867,0.09621972826598872,0.014800415737689573,0.008081342506411134,0.7881773399014779,0.0
Structured-v2,ce,depth_refinement_compatible,560,0.28,0.3219549520302251,0.2459549520302251,0.09014738656846304,0.06886738656846303,0.9875,1.025
Structured-v2,ce,no_quality_gain,976,0.488,0.0,-0.07599999999999996,0.0,-0.03708799999999998,0.0,0.017418032786885244
Structured-v2,ce,quality_harm,310,0.155,-0.22145734241818524,-0.2974573424181853,-0.03432588807481871,-0.04610588807481872,0.0,0.0032258064516129032
Structured-v2,ce,within_topk_reordering_compatible,154,0.077,0.09847589376224956,0.0224758937622496,0.007582643819693216,0.0017306438196932191,0.7142857142857143,0.0
Structured-v2,full_context,depth_refinement_compatible,438,0.219,0.27701933227835335,0.2330193322783533,0.06066723376895938,0.05103123376895938,0.9634703196347032,1.1050228310502284
Structured-v2,full_context,no_quality_gain,720,0.36,0.0,-0.04400000000000004,0.0,-0.015840000000000014,0.0,0.022222222222222223
Structured-v2,full_context,quality_harm,785,0.3925,-0.2831151903167008,-0.32711519031670083,-0.11112271219930506,-0.12839271219930506,0.0,0.0751592356687898
Structured-v2,full_context,within_topk_reordering_compatible,57,0.0285,0.09506892627378376,0.05106892627378371,0.002709464398802837,0.0014554643988028357,0.7017543859649122,0.0
Structured-v2,one_hop,depth_refinement_compatible,962,0.481,0.3256496828601679,0.3128496828601679,0.15663749745574074,0.15048069745574078,1.0,1.186070686070686
Structured-v2,one_hop,no_quality_gain,735,0.3675,0.0,-0.01280000000000003,0.0,-0.004704000000000011,0.0,0.00816326530612245
Structured-v2,one_hop,quality_harm,180,0.09,-0.24878451957024575,-0.26158451957024575,-0.022390606761322117,-0.02354260676132212,0.0,0.12222222222222222
Structured-v2,one_hop,within_topk_reordering_compatible,123,0.0615,0.09545433831331605,0.082654338313316,0.005870441806268938,0.005083241806268934,1.0,0.0
