task,difficulty_band,difficulty_lower,difficulty_upper,n,difficulty_mean,opportunity_q25,opportunity_median,opportunity_q75,positive_opportunity_share,normalized_oracle_route_entropy,oracle_routes_at_least_5pct,base_oracle_share
FEVER,0,0.0,0.2,6347,0.002562108731529775,0.0,0.0,0.0,0.012446825271781944,0.04547044890000876,1,0.987553174728218
FEVER,1,0.2,0.4,2118,0.36990105471270374,0.0,0.3622250700799947,0.36429327547418566,0.6888574126534467,0.5978532984118489,3,0.31114258734655337
FEVER,2,0.4,0.6,1316,0.5221139246192112,0.1426095623615014,0.4936540456431535,0.49622341804979253,0.8776595744680851,0.46435186085650554,3,0.12234042553191489
FEVER,3,0.6,0.8,1470,0.6661530072456334,0.220595474742535,0.37525452797758013,0.6383337879957123,0.9326530612244898,0.4919589094544284,3,0.0673469387755102
FEVER,4,0.8,1.0,2081,0.9917633190639942,0.1749102310283706,0.5617286243007281,0.9679240145228216,0.7703027390677559,0.9470044569101447,5,0.2296972609322441
MuSiQue,0,0.0,0.2,218,0.05253576627911194,0.0,0.0,0.0,0.1743119266055046,0.44149555863367257,3,0.8256880733944955
MuSiQue,1,0.2,0.4,892,0.34977286348019787,0.0,0.0,0.03104174523920525,0.26345291479820626,0.5741770834868221,2,0.7365470852017937
MuSiQue,2,0.4,0.6,385,0.5046120706027789,0.0,0.02556560722805179,0.214919418517875,0.5298701298701298,0.8339752267643877,4,0.4701298701298701
MuSiQue,3,0.6,0.8,589,0.6865095452871105,0.0,0.2001835059977779,0.3237459030660649,0.7232597623089984,0.8459485020689836,4,0.2767402376910017
MuSiQue,4,0.8,1.0,333,0.9786200192976708,0.1825309471056913,0.36076648151818325,0.5871216480622277,0.7867867867867868,0.8249288861292725,3,0.2132132132132132
Structured-v2,0,0.0,0.2,907,0.03344227366793672,0.0,0.0,0.0,0.22932745314222713,0.43755883273631824,2,0.7706725468577729
Structured-v2,1,0.2,0.4,1004,0.37945163761976103,0.29377359638272915,0.3660528072345416,0.3740528072345416,0.9352589641434262,0.6367473885959375,3,0.0647410358565737
Structured-v2,2,0.4,0.6,57,0.4312365865994841,0.11919002499605091,0.1984399000157966,0.25256487746566336,0.8771929824561403,0.859392143632339,5,0.12280701754385964
Structured-v2,3,0.6,0.8,32,0.6315956608511641,0.43994498451182595,0.5353835713866784,0.5606680874078547,1.0,0.8491075627828057,4,0.0
TREC-DL,0,0.0,0.2,10,0.08764218584249964,0.005437632674916648,0.0286778157298192,0.0574680411213829,0.7,0.7427376486136673,3,0.3
TREC-DL,1,0.2,0.4,14,0.28416690021776664,0.025578693517820245,0.09779682516533517,0.13060129738396198,0.7857142857142857,0.7653094974242585,3,0.21428571428571427
TREC-DL,2,0.4,0.6,24,0.5253625399364534,0.10182794500744433,0.24875037774508535,0.38546438260884386,0.9583333333333334,0.588032551857972,3,0.041666666666666664
TREC-DL,3,0.6,0.8,33,0.6872405733074285,0.1954384998478363,0.3663296542061223,0.5238719231336965,0.9393939393939394,0.7083010583995699,4,0.06060606060606061
TREC-DL,4,0.8,1.0,16,0.9163782793246185,0.3827383505940619,0.5029255967454276,0.7454536494499371,0.9375,0.5931390622295665,4,0.0625
