contrast,route,reference,gold_rank_band,n,mean_delta_quality,mean_delta_utility,positive_delta_quality_share,positive_delta_utility_share
bi200_minus_bm25,bi200,bm25,top01_10,11355,-0.11515168660214481,-0.15599894517633756,0.21118450022016733,0.2043152796125055
bi200_minus_bm25,bi200,bm25,rank21_100,863,0.42244012142728976,0.3822669161653213,0.7450753186558516,0.7450753186558516
bi200_minus_bm25,bi200,bm25,rank11_20,581,0.4457162935723945,0.4058947779604506,0.76592082616179,0.76592082616179
bi200_minus_bm25,bi200,bm25,rank101_200,149,0.3881141865860504,0.3482628087977521,0.6577181208053692,0.6577181208053692
bi200_minus_bm25,bi200,bm25,absent_top200,384,0.0,-0.04063641348979944,0.0,0.0
ce20_minus_bm25,ce20,bm25,top01_10,11355,0.10931391549995705,0.10392038615832128,0.3416116248348745,0.34134742404227214
ce20_minus_bm25,ce20,bm25,rank21_100,863,0.0,-0.0051072218041859204,0.0,0.0
ce20_minus_bm25,ce20,bm25,rank11_20,581,0.6853466369055302,0.6800158650927307,0.9621342512908778,0.9621342512908778
ce20_minus_bm25,ce20,bm25,rank101_200,149,0.0,-0.005134593695173912,0.0,0.0
ce20_minus_bm25,ce20,bm25,absent_top200,384,0.0,-0.005203372855074343,0.0,0.0
ce100_minus_bm25,ce100,bm25,top01_10,11355,0.10306853076934656,0.07696281619390409,0.33896961690885075,0.33659180977542935
ce100_minus_bm25,ce100,bm25,rank21_100,863,0.6027468995134144,0.5773551412326895,0.895712630359212,0.895712630359212
ce100_minus_bm25,ce100,bm25,rank11_20,581,0.6548713394952039,0.6296932121964415,0.9294320137693631,0.9294320137693631
ce100_minus_bm25,ce100,bm25,rank101_200,149,0.0,-0.024526633295274165,0.0,0.0
ce100_minus_bm25,ce100,bm25,absent_top200,384,0.0,-0.025590948629840942,0.0,0.0
hybrid_minus_bm25,hybrid,bm25,top01_10,11355,0.059561318241166505,0.014178598338770975,0.3203874944958168,0.31466314398943196
hybrid_minus_bm25,hybrid,bm25,rank21_100,863,0.5705494574125755,0.5257577436667404,0.8389339513325609,0.8389339513325609
hybrid_minus_bm25,hybrid,bm25,rank11_20,581,0.6055150024233197,0.5611874662858831,0.8537005163511188,0.8537005163511188
hybrid_minus_bm25,hybrid,bm25,rank101_200,149,0.4774934507295894,0.4332551156325385,0.7114093959731543,0.7114093959731543
hybrid_minus_bm25,hybrid,bm25,absent_top200,384,0.0,-0.044914317783973035,0.0,0.0
ce100_minus_ce20,ce100,ce20,top01_10,11355,-0.006245384730610456,-0.026957569964417196,0.01083223249669749,0.010656098634962571
ce100_minus_ce20,ce100,ce20,rank21_100,863,0.6027468995134144,0.5824623630368754,0.895712630359212,0.895712630359212
ce100_minus_ce20,ce100,ce20,rank11_20,581,-0.030475297410326424,-0.05032265289628924,0.024096385542168676,0.024096385542168676
ce100_minus_ce20,ce100,ce20,rank101_200,149,0.0,-0.019392039600100254,0.0,0.0
ce100_minus_ce20,ce100,ce20,absent_top200,384,0.0,-0.0203875757747666,0.0,0.0
hybrid_minus_ce100,hybrid,ce100,top01_10,11355,-0.04350721252818006,-0.0627842178551331,0.04685160722148833,0.044033465433729636
hybrid_minus_ce100,hybrid,ce100,rank21_100,863,-0.03219744210083885,-0.051597397565948985,0.1657010428736964,0.15179606025492468
hybrid_minus_ce100,hybrid,ce100,rank11_20,581,-0.049356337071884235,-0.06850574591055843,0.14974182444061962,0.13941480206540446
hybrid_minus_ce100,hybrid,ce100,rank101_200,149,0.4774934507295894,0.45778174892781265,0.7114093959731543,0.7114093959731543
hybrid_minus_ce100,hybrid,ce100,absent_top200,384,0.0,-0.01932336915413209,0.0,0.0
