task,model,contrast,routes,mean_routewise_spearman_difference,cluster_bootstrap_2p5,cluster_bootstrap_50,cluster_bootstrap_97p5
FEVER,extra_trees,joint_minus_query,4,0.1428678504191298,0.12890937760912072,0.14271457230410078,0.15583906312053572
FEVER,extra_trees,joint_minus_first_stage,4,0.021338364831237314,0.01735581892175662,0.021295835838608702,0.025271098056287914
FEVER,linear,joint_minus_query,4,0.11471363199014062,0.1031982370201621,0.11453841909268425,0.12481017183824548
FEVER,linear,joint_minus_first_stage,4,0.03657246845028486,0.029685052462662478,0.03675444131437469,0.044248326178490206
MuSiQue,extra_trees,joint_minus_query,3,0.016235398610691777,-0.006403536354703387,0.016537535834468042,0.06062332668460715
MuSiQue,extra_trees,joint_minus_first_stage,3,0.08291993462637325,0.06323868846171125,0.0838981131264803,0.15258410292547167
MuSiQue,linear,joint_minus_query,3,0.005805763249363272,-0.0138409488942404,0.006481212692763782,0.025356538111786384
MuSiQue,linear,joint_minus_first_stage,3,0.13232426784241577,0.10232105338924237,0.13096162020757127,0.1983048222550651
Structured-v2,extra_trees,joint_minus_query,4,0.11527825033680897,0.10014396773928408,0.11589009917554158,0.13200523806084677
Structured-v2,extra_trees,joint_minus_first_stage,4,0.07069524253077993,0.05554066598209665,0.07023354946970944,0.08624182604539768
Structured-v2,linear,joint_minus_query,4,0.056200894818496036,0.0439518340470575,0.05649548403695555,0.06746454551392181
Structured-v2,linear,joint_minus_first_stage,4,0.09179846191410214,0.07243445012195476,0.09135852008725548,0.10822291677085816
TREC-DL,extra_trees,joint_minus_query,3,0.08287748088926293,-0.08214488134390063,0.07718016368551006,0.24129081787518183
TREC-DL,extra_trees,joint_minus_first_stage,3,-0.03106809734202959,-0.1409680798329539,-0.030438345009424727,0.0854088087979156
TREC-DL,linear,joint_minus_query,3,0.07056069850620661,0.0032560246379212095,0.0724210559856066,0.14203286614951122
TREC-DL,linear,joint_minus_first_stage,3,0.13111017602917455,-0.030010182973318887,0.13160698813058772,0.2976355351268145
