task,route,question_type,n,mean_delta_quality,mean_delta_utility,positive_delta_utility_share
Structured-v2,one_hop,bridge_comparison,403,0.20085264135106803,0.18805264135106803,0.794044665012407
Structured-v2,one_hop,comparison,616,-0.04676281985502485,-0.05956281985502488,0.00487012987012987
Structured-v2,one_hop,compositional,937,0.23788419545526288,0.22508419545526293,0.7865528281750267
Structured-v2,one_hop,inference,44,0.11816946422747096,0.10536946422747091,0.5681818181818182
Structured-v2,two_hop,bridge_comparison,403,0.2260463497077558,0.20524634970775582,0.8461538461538461
Structured-v2,two_hop,comparison,616,-0.05870208452630021,-0.07950208452630025,0.00487012987012987
Structured-v2,two_hop,compositional,937,0.25105434576764485,0.2302543457676449,0.7982924226254002
Structured-v2,two_hop,inference,44,0.12096002524251531,0.10016002524251526,0.5681818181818182
Structured-v2,full_context,bridge_comparison,403,-0.007414844216385488,-0.05141484421638551,0.38461538461538464
Structured-v2,full_context,comparison,616,-0.16290065097608494,-0.206900650976085,0.01948051948051948
Structured-v2,full_context,compositional,937,0.015921189535485807,-0.028078810464514235,0.3084311632870864
Structured-v2,full_context,inference,44,-0.16079998721282318,-0.20479998721282325,0.13636363636363635
Structured-v2,ce,bridge_comparison,403,0.028447474628232015,-0.04755252537176794,0.27543424317617865
Structured-v2,ce,comparison,616,-0.04179478713810833,-0.1177947871381083,0.048701298701298704
Structured-v2,ce,compositional,937,0.15288669304914024,0.07688669304914024,0.5496264674493063
Structured-v2,ce,inference,44,-0.04921113996527475,-0.1252111399652747,0.1590909090909091
