population,condition,queries,mean_pool_size,mean_support_recall,any_support_coverage,all_support_coverage,mean_released_context_recall
hyperlink10k,base4_one4_two2,10000,10.0,0.768775,0.9714,0.5345,0.20216916666666668
hyperlink10k,base5_one5,10000,10.0,0.8022,0.9761,0.585,0.21632904761904762
hyperlink10k,base_top10,10000,10.0,0.6468,0.9846,0.3232,0.1908698015873016
hyperlink10k,one_hop_top10,10000,9.9824,0.23075,0.5274,0.0,0.065745
hyperlink10k,rrf_equal_top10,10000,10.0,0.733325,0.9665,0.4839,0.18836095238095238
hyperlink10k,two_hop_top10,10000,10.0,0.0004,0.0009,0.0,0.0002247222222222222
structured2k,base4_one4_two2,2000,10.0,0.771,0.9705,0.5425,0.20012718253968254
structured2k,base5_one5,2000,10.0,0.806375,0.972,0.599,0.21494226190476193
structured2k,base_top10,2000,10.0,0.643125,0.9825,0.317,0.19191111111111112
structured2k,one_hop_top10,2000,9.9795,0.235875,0.533,0.0,0.06476785714285715
structured2k,rrf_equal_top10,2000,10.0,0.7345,0.966,0.4865,0.18646051587301588
structured2k,two_hop_top10,2000,10.0,0.0005,0.001,0.0,0.00025
