query_uid,component_id
fever:137334,fever_dep_00000
fever:111897,fever_dep_00001
fever:89891,fever_dep_00002
fever:181634,fever_dep_00003
fever:219028,fever_dep_00004
fever:108281,fever_dep_00005
fever:204361,fever_dep_00006
fever:54168,fever_dep_00007
fever:105095,fever_dep_00008
fever:18708,fever_dep_00009
fever:90809,fever_dep_00010
fever:204443,fever_dep_00011
fever:192714,fever_dep_00012
fever:159706,fever_dep_00256
fever:107786,fever_dep_00013
fever:166846,fever_dep_00014
fever:140764,fever_dep_00015
fever:197381,fever_dep_00016
fever:187000,fever_dep_00017
fever:142454,fever_dep_00018
fever:147411,fever_dep_00019
fever:227362,fever_dep_00217
fever:145512,fever_dep_00020
fever:64721,fever_dep_00021
fever:124667,fever_dep_00022
fever:52175,fever_dep_00023
fever:104386,fever_dep_00125
fever:55658,fever_dep_00024
fever:201090,fever_dep_00025
fever:129441,fever_dep_00026
fever:207543,fever_dep_00027
fever:132134,fever_dep_00028
fever:128123,fever_dep_00029
fever:86175,fever_dep_00030
fever:31963,fever_dep_00031
fever:41665,fever_dep_00032
fever:71959,fever_dep_00033
fever:21775,fever_dep_00034
fever:173496,fever_dep_00035
fever:43608,fever_dep_00023
fever:66638,fever_dep_00036
fever:26839,fever_dep_00037
fever:40351,fever_dep_00038
fever:15307,fever_dep_00039
fever:146231,fever_dep_00040
fever:184083,fever_dep_00041
fever:226877,fever_dep_00042
fever:227130,fever_dep_00043
fever:134710,fever_dep_00044
fever:105310,fever_dep_00045
fever:114567,fever_dep_00046
fever:71986,fever_dep_00047
fever:221085,fever_dep_00048
fever:71853,fever_dep_00049
fever:163980,fever_dep_00050
fever:185193,fever_dep_00051
fever:39437,fever_dep_00052
fever:34412,fever_dep_00053
fever:150217,fever_dep_00054
fever:202783,fever_dep_00055
fever:159944,fever_dep_00056
fever:80205,fever_dep_00057
fever:43776,fever_dep_00058
fever:79538,fever_dep_00059
fever:172478,fever_dep_00060
fever:60977,fever_dep_00061
fever:100584,fever_dep_00062
fever:32820,fever_dep_00063
fever:215500,fever_dep_00064
fever:26300,fever_dep_00065
fever:186996,fever_dep_00017
fever:145446,fever_dep_00066
fever:68084,fever_dep_00067
fever:4713,fever_dep_00068
fever:105419,fever_dep_00069
fever:10328,fever_dep_00070
fever:194904,fever_dep_00071
fever:223343,fever_dep_00072
fever:186590,fever_dep_00073
fever:60685,fever_dep_00074
fever:38125,fever_dep_00113
fever:201095,fever_dep_00025
fever:11432,fever_dep_00075
fever:172771,fever_dep_00076
fever:125513,fever_dep_00077
fever:130920,fever_dep_00078
fever:128229,fever_dep_00018
fever:108950,fever_dep_00079
fever:121189,fever_dep_00080
fever:166848,fever_dep_00014
fever:121119,fever_dep_00081
fever:141072,fever_dep_00001
fever:212194,fever_dep_00082
fever:63038,fever_dep_00083
fever:185206,fever_dep_00051
fever:166647,fever_dep_00084
fever:51098,fever_dep_00642
fever:217212,fever_dep_00085
fever:47911,fever_dep_00086
fever:130717,fever_dep_00087
fever:24684,fever_dep_00125
fever:170949,fever_dep_00088
fever:44327,fever_dep_00089
fever:179042,fever_dep_00090
fever:31418,fever_dep_00091
fever:123452,fever_dep_00092
fever:204033,fever_dep_00093
fever:93412,fever_dep_00199
fever:7208,fever_dep_00094
fever:168529,fever_dep_00095
fever:199410,fever_dep_00096
fever:10278,fever_dep_00097
fever:227080,fever_dep_00098
fever:182276,fever_dep_00099
fever:67212,fever_dep_00054
fever:129752,fever_dep_00100
fever:123051,fever_dep_00101
fever:113560,fever_dep_00102
fever:167987,fever_dep_00103
fever:113333,fever_dep_00104
fever:165898,fever_dep_00105
fever:153303,fever_dep_00577
fever:7876,fever_dep_00106
fever:125398,fever_dep_00020
fever:183611,fever_dep_00107
fever:127539,fever_dep_00108
fever:144723,fever_dep_00061
fever:25089,fever_dep_00109
fever:157685,fever_dep_00110
fever:73978,fever_dep_00111
fever:173121,fever_dep_00112
fever:126878,fever_dep_00113
fever:128741,fever_dep_00114
fever:46513,fever_dep_00115
fever:140758,fever_dep_00116
fever:84187,fever_dep_00010
fever:5488,fever_dep_00117
fever:58341,fever_dep_00118
fever:83371,fever_dep_00119
fever:204020,fever_dep_00093
fever:194923,fever_dep_00071
fever:115131,fever_dep_00120
fever:124723,fever_dep_00121
fever:110205,fever_dep_00122
fever:166916,fever_dep_00123
fever:23845,fever_dep_00124
fever:9849,fever_dep_00125
fever:71511,fever_dep_00101
fever:54142,fever_dep_00126
fever:120480,fever_dep_00127
fever:208414,fever_dep_00128
fever:46475,fever_dep_00074
fever:155321,fever_dep_00129
fever:69716,fever_dep_00130
fever:135740,fever_dep_00131
fever:125695,fever_dep_00132
fever:12684,fever_dep_00133
fever:29857,fever_dep_00134
fever:203701,fever_dep_00135
fever:46065,fever_dep_00136
fever:70208,fever_dep_00137
fever:204647,fever_dep_00138
fever:124540,fever_dep_00139
fever:27497,fever_dep_00140
fever:94746,fever_dep_00141
fever:122673,fever_dep_00142
fever:161547,fever_dep_00127
fever:170398,fever_dep_00143
fever:12264,fever_dep_00144
fever:205739,fever_dep_00145
fever:93064,fever_dep_00146
fever:168543,fever_dep_00095
fever:53330,fever_dep_00074
fever:55330,fever_dep_00147
fever:152316,fever_dep_00148
fever:183627,fever_dep_00107
fever:218475,fever_dep_00149
fever:224968,fever_dep_00084
fever:82509,fever_dep_00150
fever:160551,fever_dep_00151
fever:128538,fever_dep_00044
fever:78997,fever_dep_00152
fever:94522,fever_dep_00153
fever:208413,fever_dep_00128
fever:34180,fever_dep_00154
fever:42188,fever_dep_00155
fever:181978,fever_dep_00156
fever:211286,fever_dep_00101
fever:36242,fever_dep_00157
fever:3583,fever_dep_00158
fever:64196,fever_dep_00036
fever:50537,fever_dep_00159
fever:118044,fever_dep_00160
fever:202940,fever_dep_00161
fever:185733,fever_dep_00162
fever:91884,fever_dep_00163
fever:208150,fever_dep_00164
fever:166633,fever_dep_00084
fever:45109,fever_dep_00165
fever:41850,fever_dep_00166
fever:44512,fever_dep_00163
fever:216389,fever_dep_00167
fever:93448,fever_dep_00168
fever:52186,fever_dep_00169
fever:204432,fever_dep_00011
fever:155955,fever_dep_00170
fever:111764,fever_dep_00171
fever:73092,fever_dep_00172
fever:27040,fever_dep_00173
fever:179007,fever_dep_00174
fever:63836,fever_dep_00011
fever:183139,fever_dep_00175
fever:140691,fever_dep_00176
fever:157622,fever_dep_00177
fever:35695,fever_dep_00178
fever:225236,fever_dep_00179
fever:151747,fever_dep_00180
fever:24480,fever_dep_00181
fever:28499,fever_dep_00182
fever:174580,fever_dep_00183
fever:209084,fever_dep_00184
fever:21558,fever_dep_00104
fever:34766,fever_dep_00185
